,Goodreads_BookID,Genres,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7,BookID
8972,7967299,"['Vampires', 'Nonfiction', 'Paranormal', 'Tv', 'Reference', 'Gothic', 'Romance']",Vampires,Nonfiction,Paranormal,Tv,Reference,Gothic,Romance,9011
8973,12063467,"['Paranormal', 'Romance', 'Paranormal Romance', 'Erotica', 'Fantasy', 'Science Fiction', 'Shapeshifters']",Paranormal,Romance,Paranormal Romance,Erotica,Fantasy,Science Fiction,Shapeshifters,9016
8974,116236,"['Fiction', 'Historical Fiction', 'Young Adult', 'Classics', 'Childrens', 'Coming Of Age', 'American']",Fiction,Historical Fiction,Young Adult,Classics,Childrens,Coming Of Age,American,9006
8975,760025,"['Business', 'Nonfiction', 'Psychology', 'Entrepreneurship', 'Buisness', 'Management', 'Communication']",Business,Nonfiction,Psychology,Entrepreneurship,Buisness,Management,Communication,9014
8976,10161216,"['Historical Fiction', 'Mystery', 'Fiction', 'Historical', 'World War II', 'Historical Mystery', 'British Literature']",Historical Fiction,Mystery,Fiction,Historical,World War II,Historical Mystery,British Literature,9020
8977,9182478,"['Young Adult', 'Time Travel', 'Paranormal', 'Fantasy', 'Romance', 'Science Fiction', 'Fiction']",Young Adult,Time Travel,Paranormal,Fantasy,Romance,Science Fiction,Fiction,9013
8978,24929,"['Fantasy', 'Fiction', 'Mystery', 'Horror', 'Fairy Tales', 'Adult', 'Retellings']",Fantasy,Fiction,Mystery,Horror,Fairy Tales,Adult,Retellings,9021
8979,10090,"['Fantasy', 'Science Fiction', 'Fiction', 'Cyberpunk', 'Science Fiction Fantasy', 'Adventure', 'Speculative Fiction']",Fantasy,Science Fiction,Fiction,Cyberpunk,Science Fiction Fantasy,Adventure,Speculative Fiction,9019
8980,7831145,"['Paranormal Romance', 'Romance', 'Paranormal', 'Fantasy', 'Shapeshifters', 'Urban Fantasy', 'Adult']",Paranormal Romance,Romance,Paranormal,Fantasy,Shapeshifters,Urban Fantasy,Adult,9015
8981,72003,"['Plays', 'Drama', 'Fiction', 'LGBT', 'Queer', 'Classics', 'Theatre']",Plays,Drama,Fiction,LGBT,Queer,Classics,Theatre,9024
8982,239239,"['Fiction', 'Fantasy', 'Historical Fiction', 'Science Fiction', 'Mystery', 'Historical', 'Audiobook']",Fiction,Fantasy,Historical Fiction,Science Fiction,Mystery,Historical,Audiobook,9022
8983,39916,"['Graphic Novels', 'Comics', 'Memoir', 'Nonfiction', 'Graphic Novels Comics', 'Biography', 'Autobiography']",Graphic Novels,Comics,Memoir,Nonfiction,Graphic Novels Comics,Biography,Autobiography,9017
8984,1503274,"['Historical Fiction', 'Fiction', 'Romance', 'Historical', 'Civil War', 'Classics', 'Southern']",Historical Fiction,Fiction,Romance,Historical,Civil War,Classics,Southern,9023
8985,2437710,"['Plays', 'Drama', 'Theatre', 'Fiction', 'Family', 'American', 'Contemporary']",Plays,Drama,Theatre,Fiction,Family,American,Contemporary,9018
8986,20706320,"['Fantasy', 'Middle Grade', 'Fiction', 'Young Adult', 'Fairy Tales', 'Childrens', 'Adventure']",Fantasy,Middle Grade,Fiction,Young Adult,Fairy Tales,Childrens,Adventure,9028
8987,21483760,"['Fantasy', 'Fiction', 'Science Fiction', 'Audiobook', 'Humor', 'Time Travel', 'Comedy']",Fantasy,Fiction,Science Fiction,Audiobook,Humor,Time Travel,Comedy,9029
8988,5942,"['Fiction', 'Historical Fiction', 'Canada', 'Literary Fiction', 'Asia', 'Literature', 'Contemporary']",Fiction,Historical Fiction,Canada,Literary Fiction,Asia,Literature,Contemporary,9025
8989,268559,"['Horror', 'Fiction', 'Thriller', 'Suspense', 'Mystery', 'Paranormal', 'Science Fiction']",Horror,Fiction,Thriller,Suspense,Mystery,Paranormal,Science Fiction,9026
8990,4099,"['Programming', 'Computer Science', 'Technology', 'Nonfiction', 'Software', 'Technical', 'Coding']",Programming,Computer Science,Technology,Nonfiction,Software,Technical,Coding,9032
8991,10378106,"['Historical Romance', 'Romance', 'Historical', 'Historical Fiction', 'Medieval', 'Adult', 'Scotland']",Historical Romance,Romance,Historical,Historical Fiction,Medieval,Adult,Scotland,9031
8992,20603820,"['Romance', 'Contemporary Romance', 'Contemporary', 'Adult', 'Chick Lit', 'Fiction', 'Abuse']",Romance,Contemporary Romance,Contemporary,Adult,Chick Lit,Fiction,Abuse,9027
8993,12583975,"['Romance', 'Contemporary', 'Contemporary Romance', 'Chick Lit', 'Adult', 'Fiction', 'Erotica']",Romance,Contemporary,Contemporary Romance,Chick Lit,Adult,Fiction,Erotica,9030
8994,15762975,"['Romance', 'Contemporary', 'Contemporary Romance', 'Erotica', 'Adult', 'Erotic Romance', 'Audiobook']",Romance,Contemporary,Contemporary Romance,Erotica,Adult,Erotic Romance,Audiobook,9035
8995,29486,"['Nonfiction', 'Memoir', 'Biography', 'Humor', 'Biography Memoir', 'Sexuality', 'Sex Work']",Nonfiction,Memoir,Biography,Humor,Biography Memoir,Sexuality,Sex Work,9038
8996,1421046,"['Fiction', 'Novels', 'Indonesian Literature', 'Fantasy', 'Science Fiction', 'Romance', 'Literature']",Fiction,Novels,Indonesian Literature,Fantasy,Science Fiction,Romance,Literature,9033
8997,18310201,"['Fiction', 'Art', 'Literary Fiction', 'Contemporary', 'Mystery', 'Audiobook', 'Crime']",Fiction,Art,Literary Fiction,Contemporary,Mystery,Audiobook,Crime,9042
8998,25877663,"['Science Fiction', 'Fiction', 'Space Opera', 'Audiobook', 'Space', 'Science Fiction Fantasy', 'Fantasy']",Science Fiction,Fiction,Space Opera,Audiobook,Space,Science Fiction Fantasy,Fantasy,9034
8999,16114862,"['Dark', 'Contemporary', 'Romance', 'Erotic Romance', 'Erotica', 'Contemporary Romance', 'Drama']",Dark,Contemporary,Romance,Erotic Romance,Erotica,Contemporary Romance,Drama,9041
9000,975119,"['Science Fiction', 'Fiction', 'Fantasy', 'Aliens', 'Media Tie In', 'Classics', 'Science Fiction Fantasy']",Science Fiction,Fiction,Fantasy,Aliens,Media Tie In,Classics,Science Fiction Fantasy,9043
9001,24724,"['Fiction', 'Historical Fiction', 'Novels', 'Literature', 'Literary Fiction', 'Contemporary', 'Humor']",Fiction,Historical Fiction,Novels,Literature,Literary Fiction,Contemporary,Humor,9036
9002,3710603,"['Graphic Novels', 'Comics', 'Science Fiction', 'Fiction', 'Dystopia', 'Graphic Novels Comics', 'Comic Book']",Graphic Novels,Comics,Science Fiction,Fiction,Dystopia,Graphic Novels Comics,Comic Book,9037
9003,846066,"['Childrens', 'Picture Books', 'Fiction', 'Animals', 'Family', 'Classics', 'Humor']",Childrens,Picture Books,Fiction,Animals,Family,Classics,Humor,9045
9004,3491072,"['Travel', 'Nonfiction', 'Literature', 'History', 'Biography', 'Unfinished', 'Adventure']",Travel,Nonfiction,Literature,History,Biography,Unfinished,Adventure,9039
9005,24396884,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Audiobook', 'Suspense', 'Mystery Thriller']",Mystery,Fiction,Thriller,Crime,Audiobook,Suspense,Mystery Thriller,9040
9006,2002,"['Fantasy', 'Fiction', 'Young Adult', 'Childrens', 'Magic', 'Science Fiction Fantasy', 'Novels']",Fantasy,Fiction,Young Adult,Childrens,Magic,Science Fiction Fantasy,Novels,9048
9007,43780,"['Horror', 'Fiction', 'Fantasy', 'Vampires', 'Classics', 'Paranormal', 'Urban Fantasy']",Horror,Fiction,Fantasy,Vampires,Classics,Paranormal,Urban Fantasy,9044
9008,13226173,"['Manga', 'Fantasy', 'Graphic Novels', 'Young Adult', 'Steampunk', 'Romance', 'Paranormal']",Manga,Fantasy,Graphic Novels,Young Adult,Steampunk,Romance,Paranormal,9050
9009,395220,"['Nonfiction', 'Memoir', 'Feminism', 'Queer', 'LGBT', 'Race', 'Classics']",Nonfiction,Memoir,Feminism,Queer,LGBT,Race,Classics,9049
9010,17465470,"['Fantasy', 'Young Adult', 'Adventure', 'Fiction', 'Middle Grade', 'Action', 'Medieval']",Fantasy,Young Adult,Adventure,Fiction,Middle Grade,Action,Medieval,9053
9011,94299,"['Mystery', 'Fiction', 'Thriller', 'Suspense', 'Romance', 'Mystery Thriller', 'Crime']",Mystery,Fiction,Thriller,Suspense,Romance,Mystery Thriller,Crime,9047
9012,12710035,"['Romance', 'BDSM', 'Contemporary', 'Contemporary Romance', 'Music', 'Erotic Romance', 'Adult']",Romance,BDSM,Contemporary,Contemporary Romance,Music,Erotic Romance,Adult,9046
9013,10364994,"['Fiction', 'Contemporary', 'Historical Fiction', 'New York', 'Literary Fiction', 'Adult', 'Adult Fiction']",Fiction,Contemporary,Historical Fiction,New York,Literary Fiction,Adult,Adult Fiction,9054
9014,7234828,"['Fantasy', 'Young Adult', 'Paranormal', 'Fae', 'Fairies', 'Romance', 'Urban Fantasy']",Fantasy,Young Adult,Paranormal,Fae,Fairies,Romance,Urban Fantasy,9056
9015,6987558,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Suspense', 'Mystery Thriller', 'Adult']",Mystery,Fiction,Thriller,Crime,Suspense,Mystery Thriller,Adult,9057
9016,1376220,"['Novels', 'Fiction', 'Indonesian Literature', 'Islam', 'Religion', 'Family', 'Childrens']",Novels,Fiction,Indonesian Literature,Islam,Religion,Family,Childrens,9051
9017,16061295,"['Paranormal', 'Urban Fantasy', 'Romance', 'Fantasy', 'Paranormal Romance', 'Mystery', 'Demons']",Paranormal,Urban Fantasy,Romance,Fantasy,Paranormal Romance,Mystery,Demons,9052
9018,6389257,"['Fiction', 'Contemporary', 'Thriller', 'Novels', 'Music', 'Literature', 'Audiobook']",Fiction,Contemporary,Thriller,Novels,Music,Literature,Audiobook,9060
9019,25790,"['Art', 'Fantasy', 'Fiction', 'Reference', 'Film', 'High Fantasy', 'Graphic Novels']",Art,Fantasy,Fiction,Reference,Film,High Fantasy,Graphic Novels,9055
9020,320700,"['Horror', 'Fiction', 'Lovecraftian', 'Fantasy', 'Short Stories', 'Anthologies', 'Cthulhu Mythos']",Horror,Fiction,Lovecraftian,Fantasy,Short Stories,Anthologies,Cthulhu Mythos,9058
9021,9592213,"['Fiction', 'Religion', 'Adult Fiction', 'Contemporary', 'Literary Fiction', 'Adult', 'Family']",Fiction,Religion,Adult Fiction,Contemporary,Literary Fiction,Adult,Family,9065
9022,237114,"['Mystery', 'Fiction', 'Suspense', 'Thriller', 'Mystery Thriller', 'Crime', 'Adult']",Mystery,Fiction,Suspense,Thriller,Mystery Thriller,Crime,Adult,9068
9023,38529,"['Romance', 'Paranormal Romance', 'Vampires', 'Paranormal', 'Fantasy', 'Fiction', 'Urban Fantasy']",Romance,Paranormal Romance,Vampires,Paranormal,Fantasy,Fiction,Urban Fantasy,9066
9024,734542,"['Picture Books', 'Childrens', 'Trains', 'Transport', 'Storytime', 'Fiction', 'Classics']",Picture Books,Childrens,Trains,Transport,Storytime,Fiction,Classics,9063
9025,24189224,"['Fiction', 'Historical Fiction', 'New York', 'Literary Fiction', 'Contemporary', 'Historical', 'Novels']",Fiction,Historical Fiction,New York,Literary Fiction,Contemporary,Historical,Novels,9072
9026,12458287,"['Fantasy', 'Romance', 'Paranormal', 'Fantasy Romance', 'Paranormal Romance', 'Magic', 'Time Travel']",Fantasy,Romance,Paranormal,Fantasy Romance,Paranormal Romance,Magic,Time Travel,9067
9027,55018,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'Audiobook', 'Detective']",Mystery,Fiction,Crime,Thriller,Mystery Thriller,Audiobook,Detective,9059
9028,65070,"['Young Adult', 'Fiction', 'Realistic Fiction', 'Middle Grade', 'Historical Fiction', 'Childrens', 'Family']",Young Adult,Fiction,Realistic Fiction,Middle Grade,Historical Fiction,Childrens,Family,9069
